"Estado","Elementos"
"Sòlid","[Liti , Beril·li , Bor , Carboni , Sodi , Magnesi , Alumini , Silici , Fòsfor , Sofre , Potassi , Calci , Escandi , Titani , Vanadi , Crom , Manganès , Ferro , Cobalt , Níquel , Coure , Zinc , Gal·li , Germani , Arsènic , Seleni , Rubidi , Estronci , Itri , Zirconi , Niobi , Molibdè , Tecneci , Ruteni , Rodi , Pal·ladi , Argent , Cadmi , Indi , Estany , Antimoni , Tel·luri , Iode , Cesi , Bari , Lantani , Ceri , Praseodimi , Neodimi , Prometi , Samari , Europi , Gadolini , Terbi , Disprosi , Holmi , Erbi , Tuli , Iterbi , Luteci , Hafni , Tàntal , Tungstè , Reni , Osmi , Iridi , Platí , Or , Tal·li , Plom , Bismut , Poloni , Àstat , Franci , Radi , Actini , Tori , Protoactini , Urani , Neptuni , Plutoni , Americi , Curi , Berkeli , Californi , Einsteini , Fermi , Mendelevi , Nobeli , Lawrenci ]"
"Líquid","[Brom , Mercuri ]"
"Gasós","[Hidrogen , Heli , Nitrogen , Oxigen , Fluor , Neó , Clor , Argó , Criptó , Xenó , Radó ]"
"Desconegut","[Rutherfordi , Dubni , Seaborgi , Bohri , Hassi , Meitneri , Darmstadti , Roentgeni , Copernici , Nihoni , Flerovi , Moscovi , Livermori , Tennes , Oganessó ]"
